id,type,category,title,description,locationName,municipality,road,timestamp,endTime,severity,source,lng,lat
traffic-GUID50459844,traffic,disruption,"Tie 103, eli Vuosaaren satamatie, Helsinki. Liikennetiedote. Tilanne jatkuu. ","Tie on suljettu liikenteeltä, Paikalla on kiertotieopastus","Tie 103, eli Vuosaaren satamatie, Helsinki.
Tarkempi paikka: Välillä Itäväylän liittymä - Vuosaaren tunnelin eteläpää. 

Vuosaaren maantietunneli.",,,2026-01-06T04:00:00.000Z,2026-12-31T22:00:00.000Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50459828,roadwork,roadwork,"Tie 23, Heinävesi. Tietyö. ","Tie 23 välillä Varkaus - Joensuu, Heinävesi.
Tarkempi paikka: Paikasta Kypärälahti 9,0 km, vaikutusalue 1,8 km, suuntaan Suurmäki.","Tie 23 välillä Varkaus - Joensuu, Heinävesi.
Tarkempi paikka: Paikasta Kypärälahti 9,0 km, vaikutusalue 1,8 km, suuntaan Suurmäki.",,,2026-01-11T22:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459790,roadwork,roadwork,"Tie 13, Lappeenranta. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 13 välillä Lappeenranta - Nuijamaa, Lappeenranta.
Tarkempi paikka: Paikasta Mälkiän liittymä, vaikutusalue 1,1 km, suuntaan Soskuan liittymä.",,,2026-01-04T22:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459789,roadwork,roadwork,"Tie 13, Lappeenranta. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 13 välillä Mikkeli - Lappeenranta, Lappeenranta.
Tarkempi paikka: Paikasta Pulsantie, vaikutusalue 3,5 km, suuntaan Vainikkalantien risteys.",,,2026-01-04T22:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459788,roadwork,roadwork,"Tie 6, Lappeenranta. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä, Ajokaistoja on kavennettu","Tie 6 välillä Lappeenranta - Lappeenranta, Lappeenranta.
Tarkempi paikka: Paikasta Ahvenlammen liittymä 5,0 km, vaikutusalue 22,0 km, suuntaan Jurvalan itäinen liittymä.",,,2026-01-04T22:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459787,roadwork,roadwork,"Tie 387, Lappeenranta. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 387 välillä Lappeenranta - Vaalimaa, Lappeenranta.
Tarkempi paikka: Paikasta Hytti 6,4 km, vaikutusalue 2,7 km, suuntaan Mattilan liittymä.",,,2026-01-04T22:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459786,roadwork,roadwork,"Tie 1691, Orimattila. Tietyö. ","Tie 1691 välillä Orimattila - Villähde, Orimattila.
Tarkempi paikka: Välillä Orimattila, Viljamaa - Heinämaantien tasoristeys.","Tie 1691 välillä Orimattila - Villähde, Orimattila.
Tarkempi paikka: Välillä Orimattila, Viljamaa - Heinämaantien tasoristeys.",,,2026-01-06T22:00:00.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459785,roadwork,roadwork,"Tie 1691, Orimattila. Tietyö. ","Tie 1691 välillä Orimattila - Villähde, Orimattila.
Tarkempi paikka: Välillä Orimattila, Viljamaa - Heinämaantien tasoristeys.","Tie 1691 välillä Orimattila - Villähde, Orimattila.
Tarkempi paikka: Välillä Orimattila, Viljamaa - Heinämaantien tasoristeys.",,,2026-01-06T22:00:00.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459613,traffic,disruption,"Tie 9452, Kemijärvi. Liikennetiedote. Tilanne muuttunut. ","Jäätie auki, Nopeusrajoitus","Tie 9452 välillä Kervinen - Räisälä, Kemijärvi.
Tarkempi paikka: Räisälä lossilaituri. Räisälän jäätie.",,,2025-12-26T08:00:00.000Z,2026-04-30T21:00:00.000Z,low,Fintraffic Tieliikennekeskus Tampere,27.923466,66.578584
traffic-GUID50459582,roadwork,roadwork,"Tie 15699, eli Iiksenjoentie, Joensuu. Tietyö. ",Nopeusrajoitus,"Tie 15699, eli Iiksenjoentie, Joensuu.
Tarkempi paikka: Paikasta Iiksenjoen tienhaara 2,6 km, suuntaan Iiksenvaaran tienhaara.",,,2025-12-28T22:00:00.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459507,roadwork,roadwork,"Tie 12883, Ulvila. Tietyö. ",Nopeusrajoitus,"Tie 12883 välillä Friitala - Nakkila, Ulvila.
Tarkempi paikka: Paikasta Masia 5,2 km, vaikutusalue 1,3 km, suuntaan tien 2 liittymä.",,,2025-12-18T22:00:00.000Z,2026-05-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50459459,roadwork,roadwork,"Tie 301, Vesilahti. Tietyö. ","Tie 301 välillä Vammala - Lempäälä, Vesilahti.
Tarkempi paikka: Paikasta Suomela 800 m, vaikutusalue 200 m, suuntaan Valkkistentien risteys.","Tie 301 välillä Vammala - Lempäälä, Vesilahti.
Tarkempi paikka: Paikasta Suomela 800 m, vaikutusalue 200 m, suuntaan Valkkistentien risteys.",,,2025-12-17T22:00:00.000Z,2026-10-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459401,roadwork,roadwork,"Tie 25, Vihti. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain, Ajokaistoja on kavennettu","Tie 25 välillä Lohja - Hyvinkää, Vihti.
Tarkempi paikka: Paikasta Ojakkala 1,0 km, vaikutusalue 700 m, suuntaan Siippoo, Vanhan Porintien liittymä.",,,2026-01-06T22:00:00.000Z,2026-11-27T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50459399,roadwork,roadwork,"Tie 7263, Vöyri. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 7263 välillä Kaitsor - Österö, Vöyri.
Tarkempi paikka: Paikasta Ulot 6,8 km, vaikutusalue 100 m, suuntaan Österö.",,,2025-12-15T22:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50459335,roadwork,roadwork,"Tie 45, Helsinki. Tietyö. ",Toinen ajorata on suljettu liikenteeltä,"Tie 45 välillä Helsinki - Tuusula, Helsinki.
Tarkempi paikka: Välillä Kumpulantie - Hämeentie.",,,2025-12-14T22:00:00.000Z,2027-09-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50459229,roadwork,roadwork,"Tie 2774, Ylöjärvi. Tietyö. ","Liikenne ohjataan vuorotellen tapahtumapaikan ohi, Ajokaistoja on kavennettu","Tie 2774 välillä Ylöjärvi - Mutala, Ylöjärvi.
Tarkempi paikka: Paikasta Mutala, vaikutusalue 1,8 km, suuntaan Peräsilta.",,,2025-12-14T22:00:00.000Z,2026-05-29T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459228,roadwork,roadwork,"Tie 65, Ylöjärvi. Tietyö. ",Nopeusrajoitus,"Tie 65 välillä Tampere - Virrat, Ylöjärvi.
Tarkempi paikka: Paikasta Viljakkalantie 9,2 km, vaikutusalue 200 m, suuntaan Pengonpohjan tienhaara.",,,2025-12-14T22:00:00.000Z,2026-05-29T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459227,roadwork,roadwork,"Tie 13286, eli Karhentie, Ylöjärvi. Tietyö. ",Ajokaistoja on kavennettu,"Tie 13286, eli Karhentie, Ylöjärvi.
Tarkempi paikka: Paikasta Karhe 8,0 km, suuntaan Huhkaankylä.",,,2025-12-14T22:00:00.000Z,2026-05-29T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,23.537503,61.67985
traffic-GUID50459140,roadwork,roadwork,"Tie 16659, eli Pajumäentie, Joutsa. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi","Tie 16659, eli Pajumäentie, Joutsa.
Tarkempi paikka: Paikasta Kangasniementie, vaikutusalue 100 m, suuntaan Pajusyrjä.",,,2025-12-14T22:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459111,roadwork,roadwork,"Tie 68, Pietarsaari. Tietyö. ","Ajoneuvon suurin sallittu leveys, Nopeusrajoitus","Tie 68 välillä Alajärvi - Pietarsaari, Pietarsaari.
Tarkempi paikka: Paikasta Edsevö 2,3 km, vaikutusalue 400 m, suuntaan Kuusisaaren etl.",,,2025-12-14T22:00:00.000Z,2026-09-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50459110,roadwork,roadwork,"Tie 68, Pietarsaari, Pedersören kunta. Tietyö. ","Ajoneuvon suurin sallittu leveys, Nopeusrajoitus","Tie 68 välillä Alajärvi - Pietarsaari.
Tarkempi paikka: Paikasta Edsevö 1,9 km, vaikutusalue 400 m, suuntaan Kuusisaaren etl.",,,2026-01-06T22:00:00.000Z,2026-09-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50459109,roadwork,roadwork,"Tie 486, Kitee. Tietyö. ","Paikalla tilapäinen liikennevalo-ohjaus, Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 486 välillä Puhos - Tohmajärvi, Kitee.
Tarkempi paikka: Paikasta Lepikko 800 m, vaikutusalue 600 m, suuntaan Niinikumpu.",,,2025-12-14T22:00:00.000Z,2026-11-30T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50458026,roadwork,roadwork,"Tie 16689, eli Saarijärventie, Jyväskylä. Tietyö. ",Liikenne pysäytetään ajoittain,"Tie 16689, eli Saarijärventie, Jyväskylä.
Tarkempi paikka: Välillä Puuppolantien risteys - Niinitien risteys.",,,2025-12-07T22:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50457636,roadwork,roadwork,"Tie 3161, Hollola. Tietyö. ",Nopeusrajoitus,"Tie 3161 välillä Vesala - Hatsina, Hollola.
Tarkempi paikka: Paikasta Hollola 2,8 km, vaikutusalue 700 m, suuntaan Vesala.",,,2025-11-30T22:00:00.000Z,2026-05-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50457618,roadwork,roadwork,"Tie 143, eli Hyvinkään pohjoinen kehätie, Hyvinkää. Tietyö. ",Liikenne pysäytetään ajoittain,"Tie 143, eli Hyvinkään pohjoinen kehätie, Hyvinkää.
Tarkempi paikka: Paikasta Hyvinkään pohjoisen kehätien liittymä 300 m, vaikutusalue 200 m, suuntaan Paimenkulon kiertoliittymä.",,,2025-12-02T22:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50457288,roadwork,roadwork,"Tie 368, Mäntyharju. Tietyö. ","Paikalla tilapäinen liikennevalo-ohjaus, Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi, Liikenne pysäytetään ajoittain","Tie 368 välillä Valkeala - Mäntyharju, Mäntyharju.
Tarkempi paikka: Välillä Virransalmen silta - Mäntyharjun kirkko.",,,2025-12-07T22:00:00.000Z,2026-09-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50456976,roadwork,roadwork,"Tie 51, Siuntio. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 51 välillä Kirkkonummi - Karjaa, Siuntio.
Tarkempi paikka: Paikasta Siuntiontie 1,8 km, vaikutusalue 500 m, suuntaan Pikkala.",,,2025-11-30T22:00:00.000Z,2026-10-30T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50456688,roadwork,roadwork,"Tie 135, eli Lentoasemantie, Vantaa. Tietyö. ","Ajoneuvon suurin sallittu leveys, Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 135, eli Lentoasemantie, Vantaa.
Tarkempi paikka: Paikasta Hki-Vantaa lentoasema, suuntaan Ilmakehä.",,,2025-11-23T22:00:00.000Z,2026-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50456659,roadwork,roadwork,"Tie 1072, Lohja. Tietyö. ",Nopeusrajoitus,"Tie 1072 välillä Saukkola - Myllykylä, Lohja.
Tarkempi paikka: Paikasta Nummen liittymä 600 m, vaikutusalue 2,5 km, suuntaan Tavola.",,,2025-11-25T22:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50456253,roadwork,roadwork,"Tie 21, Enontekiö. Tietyö. ",Nopeusrajoitus,"Tie 21 välillä Tornio - Kilpisjärvi, Enontekiö.
Tarkempi paikka: Paikasta Palojoensuu 3,1 km, vaikutusalue 16,7 km, suuntaan Jatuni.",,,2025-11-16T22:00:00.000Z,2028-09-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50456029,roadwork,roadwork,"Tie 4, eli Sodankyläntie, Rovaniemi. Tietyö. ",Nopeusrajoitus,"Tie 4, eli Sodankyläntie, Rovaniemi.
Tarkempi paikka: Paikasta Lentokentäntie 3,8 km, vaikutusalue 5,9 km, suuntaan Olkkajärvi.",,,2025-11-11T22:00:00.000Z,2026-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455911,roadwork,roadwork,"Tie 19, Kauhava. Tietyö. ",Nopeusrajoitus,"Tie 19 välillä Seinäjoki - Uusikaarlepyy, Kauhava.
Tarkempi paikka: Paikasta Härmänmaa 800 m, vaikutusalue 300 m, suuntaan Ylihärmä.",,,2025-11-09T22:00:00.000Z,2026-08-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50455859,roadwork,roadwork,"Tie 23, Keuruu. Tietyö. ","Tie 23 välillä Pori - Jyväskylä, Keuruu.
Tarkempi paikka: Paikasta Petäisjärvi, vaikutusalue 1,5 km, suuntaan Haapamäki.","Tie 23 välillä Pori - Jyväskylä, Keuruu.
Tarkempi paikka: Paikasta Petäisjärvi, vaikutusalue 1,5 km, suuntaan Haapamäki.",,,2025-11-04T22:00:00.000Z,2026-06-12T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455805,roadwork,roadwork,"Tie 1321, Nurmijärvi. Tietyö. ",Nopeusrajoitus,"Tie 1321 välillä Perttula - Nukari, Nurmijärvi.
Tarkempi paikka: Paikasta Hämeenlinnanväylä 1,2 km, vaikutusalue 200 m, suuntaan Nukari.",,,2025-11-03T22:00:00.000Z,2026-12-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50455749,roadwork,roadwork,"Tie 2501, Nokia. Tietyö. ","Tie 2501 välillä Karkku - Nokia, Nokia.
Tarkempi paikka: Paikasta Emäkoskentien risteys 1,9 km, vaikutusalue 3,2 km, suuntaan Taivalkunta.","Tie 2501 välillä Karkku - Nokia, Nokia.
Tarkempi paikka: Paikasta Emäkoskentien risteys 1,9 km, vaikutusalue 3,2 km, suuntaan Taivalkunta.",,,2025-11-30T22:00:00.000Z,2026-11-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455743,roadwork,roadwork,"Tie 1960, Rauma. Tietyö. ","Tie 1960 välillä Unaja - Pyhäranta, Rauma.
Tarkempi paikka: Paikasta Unaja, vaikutusalue 4,7 km, suuntaan kunnanraja Rauma-Pyhäranta.","Tie 1960 välillä Unaja - Pyhäranta, Rauma.
Tarkempi paikka: Paikasta Unaja, vaikutusalue 4,7 km, suuntaan kunnanraja Rauma-Pyhäranta.",,,2025-11-04T22:00:00.000Z,2026-08-28T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50455694,roadwork,roadwork,"Tie 43, Uusikaupunki. Tietyö. ","Liikenne pysäytetään ajoittain, Liikenne pysäytetään ajoittain","Tie 43 välillä Uusikaupunki - Harjavalta, Uusikaupunki.
Tarkempi paikka: Paikasta Kalanti 600 m, vaikutusalue 500 m, suuntaan Hallun-Kallelan tienhaara.",,,0028-11-07T22:20:11.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50455681,traffic,disruption,"Tie 15147, eli Hirvensalon tie, Mikkeli. Liikennetiedote. Tilanne muuttunut. ",Lautan kantavuus on muuttunut,"Tie 15147, eli Hirvensalon tie, Mikkeli.
Tarkempi paikka: Kuparovirran lossi.",,,2025-11-20T09:00:00.000Z,,low,Fintraffic Tieliikennekeskus Tampere,27.849869,61.554876
traffic-GUID50455659,roadwork,roadwork,"Tie 618, Toivakka. Tietyö. ","Tie 618 välillä Viisarimäki - Ruuhimäki, Toivakka.
Tarkempi paikka: Paikasta Paloinen 1,1 km, vaikutusalue 2,5 km, suuntaan Viisarimäki.","Tie 618 välillä Viisarimäki - Ruuhimäki, Toivakka.
Tarkempi paikka: Paikasta Paloinen 1,1 km, vaikutusalue 2,5 km, suuntaan Viisarimäki.",,,2025-11-02T22:00:00.000Z,2027-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455626,roadwork,roadwork,"Tie 15268, Mikkeli. Tietyö. ","Tie 15268 välillä Tervalahti - Pohjalahti, Mikkeli.
Tarkempi paikka: Paikasta Tarsankankaantie 200 m, vaikutusalue 5,0 km, suuntaan Pohjanlahden tienhaara.","Tie 15268 välillä Tervalahti - Pohjalahti, Mikkeli.
Tarkempi paikka: Paikasta Tarsankankaantie 200 m, vaikutusalue 5,0 km, suuntaan Pohjanlahden tienhaara.",,,2025-11-02T22:00:00.000Z,2026-12-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455618,roadwork,roadwork,"Tie 14941, eli Siikalahdentie, Parikkala. Tietyö. ","Tie 14941, eli Siikalahdentie, Parikkala.
Tarkempi paikka: Paikasta Siikalahdentie 3,3 km, vaikutusalue 100 m, suuntaan Kannas.","Tie 14941, eli Siikalahdentie, Parikkala.
Tarkempi paikka: Paikasta Siikalahdentie 3,3 km, vaikutusalue 100 m, suuntaan Kannas.",,,2025-11-02T22:00:00.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455600,roadwork,roadwork,"Tie 15708, eli Puntarikosken tie, Kontiolahti. Tietyö. ","Tie 15708, eli Puntarikosken tie, Kontiolahti.
Tarkempi paikka: Paikasta Puntarikoski 900 m, vaikutusalue 2,5 km, suuntaan Kunnasniemi.","Tie 15708, eli Puntarikosken tie, Kontiolahti.
Tarkempi paikka: Paikasta Puntarikoski 900 m, vaikutusalue 2,5 km, suuntaan Kunnasniemi.",,,2025-11-09T22:00:00.000Z,2026-10-30T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50455377,roadwork,roadwork,"Tie 77, Kuopio. Tietyö. ","Tie 77 välillä Viitasaari - Siilinjärvi, Kuopio.
Tarkempi paikka: Paikasta Käärmelahden tienhaara 3,3 km, suuntaan Hamula.","Tie 77 välillä Viitasaari - Siilinjärvi, Kuopio.
Tarkempi paikka: Paikasta Käärmelahden tienhaara 3,3 km, suuntaan Hamula.",,,2025-10-23T21:00:00.000Z,2026-12-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,27.493275,63.095283
traffic-GUID50455174,traffic,disruption,"Tie 16344, eli Vaajasalo, Kuopio. Liikennetiedote. ",Lautan kantavuus on muuttunut,"Tie 16344, eli Vaajasalo, Kuopio.
Tarkempi paikka: Kortesalmen lossi.",,,2025-10-19T13:45:00.000Z,,low,Fintraffic Tieliikennekeskus Tampere,27.843417,62.905058
traffic-GUID50454986,roadwork,roadwork,"Tie 9, Laukaa. Tietyö. ","Tie 9 välillä Jyväskylä - Kuopio, Laukaa.
Tarkempi paikka: Paikasta Metsolahti 1,9 km, vaikutusalue 5,4 km, suuntaan Niemisjärvi.","Tie 9 välillä Jyväskylä - Kuopio, Laukaa.
Tarkempi paikka: Paikasta Metsolahti 1,9 km, vaikutusalue 5,4 km, suuntaan Niemisjärvi.",,,2025-10-14T21:00:00.000Z,2027-10-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50454620,roadwork,roadwork,"Tie 43, Uusikaupunki, Laitila. Tietyö. ","Tie 43 välillä Uusikaupunki - Harjavalta.
Tarkempi paikka: Paikasta Kylänpää 400 m, vaikutusalue 11,3 km, suuntaan Peteksentie.","Tie 43 välillä Uusikaupunki - Harjavalta.
Tarkempi paikka: Paikasta Kylänpää 400 m, vaikutusalue 11,3 km, suuntaan Peteksentie.",,,2025-10-12T21:00:00.000Z,2026-04-03T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50454292,roadwork,roadwork,"Tie 87, Rautavaara. Tietyö. ","Tie 87 välillä Iisalmi - Nurmes, Rautavaara.
Tarkempi paikka: Paikasta Rautavaaran kirkko 300 m, vaikutusalue 900 m, suuntaan Mustikkamäki.","Tie 87 välillä Iisalmi - Nurmes, Rautavaara.
Tarkempi paikka: Paikasta Rautavaaran kirkko 300 m, vaikutusalue 900 m, suuntaan Mustikkamäki.",,,2025-10-06T21:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50454180,roadwork,roadwork,"Tie 15745, eli Herajoen tie, Joensuu. Tietyö. ","Tie 15745, eli Herajoen tie, Joensuu.
Tarkempi paikka: Paikasta Paukkajanvaara 1,3 km, vaikutusalue 6,5 km, suuntaan Herajoki.","Tie 15745, eli Herajoen tie, Joensuu.
Tarkempi paikka: Paikasta Paukkajanvaara 1,3 km, vaikutusalue 6,5 km, suuntaan Herajoki.",,,2025-09-30T21:00:00.000Z,2026-08-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50454121,roadwork,roadwork,"Tie 4, eli Lahdenväylä, Järvenpää, Kerava. Tietyö. ","Ajokaista suljettu liikenteeltä, Nopeusrajoitus, Ajokaista suljettu liikenteeltä, Ajokaista suljettu liikenteeltä","Tie 4, eli Lahdenväylä.
Tarkempi paikka: Paikasta Keravan liittymä 1,3 km, vaikutusalue 6,9 km, suuntaan Järvenpään pohjoinen liittymä.",,,2025-09-30T21:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50454112,roadwork,roadwork,"Tie 47702, Vaasa. Tietyö. ","Tie 47702 välillä Rantamaantie - Huutoniementie, Vaasa.
Tarkempi paikka: Paikasta Dynamotie 100 m, vaikutusalue 1,2 km, suuntaan Sairaskodinkatu.","Tie 47702 välillä Rantamaantie - Huutoniementie, Vaasa.
Tarkempi paikka: Paikasta Dynamotie 100 m, vaikutusalue 1,2 km, suuntaan Sairaskodinkatu.",,,2025-10-05T21:00:00.000Z,2026-10-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50453973,roadwork,roadwork,"Tie 4, eli Sodankyläntie, Rovaniemi. Tietyö. ","Tie 4, eli Sodankyläntie, Rovaniemi.
Tarkempi paikka: Paikasta Käyrämö 7,9 km, vaikutusalue 700 m, suuntaan Yli-Nampa.","Tie 4, eli Sodankyläntie, Rovaniemi.
Tarkempi paikka: Paikasta Käyrämö 7,9 km, vaikutusalue 700 m, suuntaan Yli-Nampa.",,,2025-09-30T21:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50453523,roadwork,roadwork,"Tie 11609, eli Rantatie, Tuusula. Tietyö. ","Tie 11609, eli Rantatie, Tuusula.
Tarkempi paikka: Paikasta Rantatien pohjoinen tienhaara 600 m, vaikutusalue 900 m, suuntaan Rantatien eteläinen tienhaara.","Tie 11609, eli Rantatie, Tuusula.
Tarkempi paikka: Paikasta Rantatien pohjoinen tienhaara 600 m, vaikutusalue 900 m, suuntaan Rantatien eteläinen tienhaara.",,,2025-09-21T21:00:00.000Z,2026-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50453253,roadwork,roadwork,"Tie 9, Jämsä. Tietyö. ","Tie 9 välillä Tampere - Jyväskylä, Jämsä.
Tarkempi paikka: Paikasta Saarenkartano 1,3 km, vaikutusalue 900 m, suuntaan Kilpakorpi.","Tie 9 välillä Tampere - Jyväskylä, Jämsä.
Tarkempi paikka: Paikasta Saarenkartano 1,3 km, vaikutusalue 900 m, suuntaan Kilpakorpi.",,,2025-10-12T21:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50453251,roadwork,roadwork,"Tie 16565, Jämsä. Tietyö. ","Tie 16565 välillä Olkkola - Salovuori, Jämsä.
Tarkempi paikka: Paikasta Olkkola, suuntaan Kaipola.","Tie 16565 välillä Olkkola - Salovuori, Jämsä.
Tarkempi paikka: Paikasta Olkkola, suuntaan Kaipola.",,,2025-10-12T21:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50453248,roadwork,roadwork,"Tie 24, Jämsä. Tietyö. ","Tie 24 välillä Lahti - Jämsä, Jämsä.
Tarkempi paikka: Paikasta Arvaja 8,5 km, vaikutusalue 5,3 km, suuntaan Jämsä.","Tie 24 välillä Lahti - Jämsä, Jämsä.
Tarkempi paikka: Paikasta Arvaja 8,5 km, vaikutusalue 5,3 km, suuntaan Jämsä.",,,2025-10-12T21:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50453242,roadwork,roadwork,"Tie 16556, eli Lopeisto, Jämsä. Tietyö. ","Tie 16556, eli Lopeisto, Jämsä.
Tarkempi paikka: Paikasta Lopeisto, vaikutusalue 1,6 km, suuntaan Kattilajärvi.","Tie 16556, eli Lopeisto, Jämsä.
Tarkempi paikka: Paikasta Lopeisto, vaikutusalue 1,6 km, suuntaan Kattilajärvi.",,,2025-10-12T21:00:00.000Z,2026-04-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50453151,roadwork,roadwork,"Tie 3, Parkano, Ylöjärvi. Tietyö. ","Tie 3 välillä Tampere - Vaasa.
Tarkempi paikka: Paikasta Ylöjärven liittymä, vaikutusalue 102,4 km, suuntaan Yli-Koskue.","Tie 3 välillä Tampere - Vaasa.
Tarkempi paikka: Paikasta Ylöjärven liittymä, vaikutusalue 102,4 km, suuntaan Yli-Koskue.",,,2025-09-15T21:00:00.000Z,2026-04-03T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
